parameter,unit,lower_bound,upper_bound,n_guidelines,n_values,source,pages,example_quote
cosmetic repair time including cure or drying times,h,1.0,1.0,2,2,MIL-HDBK-470A,470;517,
distance from first stage fan or compressor blades,in,10.0,10.0,2,2,MIL-HDBK-470A,457;550,
fuselage lower shear moldline height above ground,in,38.0,38.0,2,2,MIL-HDBK-470A,354;530,
electrical connector water pressure resistance,psi,120.0,120.0,2,2,MIL-HDBK-470A,423;430,
minimum clearance between engine and airframe,in,1.0,1.0,2,2,MIL-HDBK-470A,356;482,
minimum hand tool arc for multiple connectors,deg,120.0,120.0,2,2,MIL-HDBK-470A,505;518,
ground power and servicing interface spacing,in,30.0,30.0,2,2,MIL-HDBK-470A,648;657,
static charge buildup for optics and windows,v,10000.0,10000.0,2,2,MIL-HDBK-470A,509;522,
ammo loader interface height above ground,in,50.0,50.0,2,2,MIL-HDBK-470A,375;649,
minimum distance below plate nut channel,in,1.0,1.0,2,2,MIL-HDBK-470A,381;449,
design goal low velocity impact energy,ft-lb,30.0,30.0,2,2,MIL-HDBK-470A,388;680,
maximum percentage of openings plugged,%,25.0,25.0,2,2,MIL-HDBK-470A,470;542,
radome diameter and length combined,in,60.0,60.0,2,2,MIL-HDBK-470A,572;660,
safe/arm status visibility distance,ft,20.0,20.0,2,2,MIL-HDBK-470A,591;598,
minimum distance from landing gear,in,18.0,18.0,2,2,MIL-HDBK-470A,354;510,
minimum spacing between interfaces,in,30.0,30.0,2,2,MIL-HDBK-470A,357;611,
mean corrective maintenance time,min,30.0,40.0,2,2,MIL-HDBK-470A,140;159,
lo screen plugging percentage,%,25.0,25.0,2,2,MIL-HDBK-470A,497,
clearance from inner surface,in,1.0,1.0,2,2,MIL-HDBK-470A,429;659,
bit failure isolation rate,%,99.0,99.0,2,2,MIL-HDBK-470A,376;682,
inlet duct edge distance,in,60.0,60.0,2,2,MIL-HDBK-470A,380;497,
diameter and length sum,in,60.0,60.0,2,2,MIL-HDBK-470A,361;390,
minimum hand tool arc,deg,120.0,120.0,2,2,MIL-HDBK-470A,374;381,
minimum passage width,in,30.0,30.0,2,2,MIL-HDBK-470A,367,
static charge buildup,v,10000.0,10000.0,2,2,MIL-HDBK-470A,509;573,
cosmetic repair time,h,1.0,1.0,2,2,MIL-HDBK-470A,421;550,
percentile male hand,%,75.0,75.0,2,2,MIL-HDBK-470A,547;559,
fastener diameter,in,0.25,0.25,2,2,MIL-HDBK-470A,475;520,
replacement time,min,30.0,30.0,2,2,MIL-HDBK-470A,426,
minimum angle,deg,90.0,90.0,2,2,MIL-HDBK-470A,356;360,
radome size,in,60.0,60.0,2,2,MIL-HDBK-470A,430;520,
repair time,h,1.0,1.0,2,2,MIL-HDBK-470A,421;526,
small exterior storage bays or compartments location at chest height of 50th-percentile male,%,50.0,50.0,1,1,MIL-HDBK-470A,540,
minimum clearance for positioning jack with tire ruptured and wheel ground off,in,6.5,6.5,1,1,MIL-HDBK-470A,485,
minimum distance forward of inflight refueling receptacle for high durability,in,36.0,36.0,1,1,MIL-HDBK-470A,485,
fuselage weapon bays distance from nose landing gear and main landing gear,in,18.0,18.0,1,1,MIL-HDBK-470A,539,
maximum distance from fuel cell or tank access door edge to wetted area,in,18.0,18.0,1,1,MIL-HDBK-470A,483,
percentage of access panels requiring more than 4 fasteners per side,%,15.0,15.0,1,1,MIL-HDBK-470A,89,
"plumbing, wiring, ducts, and connectors distance from inner surface",in,1.0,1.0,1,1,MIL-HDBK-470A,535,
standard deviation of chargeable maintenance downtime per flight,h,1.0,1.0,1,1,MIL-HDBK-470A,175,
water pressure for electrical connector environmental protection,psi,120.0,120.0,1,1,MIL-HDBK-470A,632,
engine-to-airframe clearance including removal and installation,in,1.0,1.0,1,1,MIL-HDBK-470A,446,
engine-to-firewall distance for 75 percentile male hand access,in,1.0,1.0,1,1,MIL-HDBK-470A,451,
pulleys and brackets accessibility by 75 percentile male hand,%,100.0,100.0,1,1,MIL-HDBK-470A,443,
fuel cell and tank access door maximum wetted area distance,in,18.0,18.0,1,1,MIL-HDBK-470A,357,
"identification, markings, cautions, and directions coverage",deg,360.0,360.0,1,1,MIL-HDBK-470A,676,
radius around inlet for no ground safety pins or streamers,ft,3.0,3.0,1,1,MIL-HDBK-470A,516,
walkway areas durability for personnel up to 95 percentile,%,95.0,95.0,1,1,MIL-HDBK-470A,550,
maximum corrective maintenance time for the φ percentile,h,1.0,1.0,1,1,MIL-HDBK-470A,285,
storage bay height for 50 percentile male chest height,in,42.0,42.0,1,1,MIL-HDBK-470A,362,
walkway areas durability for 95th-percentile personnel,%,95.0,95.0,1,1,MIL-HDBK-470A,534,
durable area forward of inflight refueling receptacle,in,36.0,36.0,1,1,MIL-HDBK-470A,645,
fuselage lower shear moldline height external weapons,in,38.0,38.0,1,1,MIL-HDBK-470A,681,
"spark plugs, glo-plugs, and igniters replacement time",min,30.0,30.0,1,1,MIL-HDBK-470A,451,
"spark plug, glo-plug, and igniter replacement time",min,30.0,30.0,1,1,MIL-HDBK-470A,481,
periodic and initiated bit failure isolation rate,%,99.0,99.0,1,1,MIL-HDBK-470A,682,
plumbing and wiring distance from outer surface,in,1.0,1.0,1,1,MIL-HDBK-470A,498,
drift angle indicator remove and replace time,h,0.5,0.5,1,1,MIL-HDBK-470A,144,
plumbing and wiring to inner surface distance,in,1.0,1.0,1,1,MIL-HDBK-470A,608,
percentage of openings plugged in lo screens,%,25.0,25.0,1,1,MIL-HDBK-470A,714,
engine cavity structure fire endurance time,min,10.0,10.0,1,1,MIL-HDBK-470A,601,
weapon and store loading percentile range,%,5.0,5.0,1,1,MIL-HDBK-470A,596,
wheel ground clearance with tire ruptured,in,2.0,2.0,1,1,MIL-HDBK-470A,526,
safety pin exclusion radius aft of inlet,ft,3.0,3.0,1,1,MIL-HDBK-470A,648,
minimum diameter of structural fastener,in,0.25,0.25,1,1,MIL-HDBK-470A,546,
plumbing to plate nut channel clearance,in,1.0,1.0,1,1,MIL-HDBK-470A,390,
safe/arm status discernibility distance,ft,20.0,20.0,1,1,MIL-HDBK-470A,560,
emergency equipment storage bay height,in,42.0,42.0,1,1,MIL-HDBK-470A,652,
plumbing to plate nut channel distance,in,1.0,1.0,1,1,MIL-HDBK-470A,381,
distance from cockpit or crew station,in,60.0,60.0,1,1,MIL-HDBK-470A,457,
engine cavity structure fire duration,min,10.0,10.0,1,1,MIL-HDBK-470A,469,
critical maintenance time percentile,%,40.0,40.0,1,1,MIL-HDBK-470A,166,
diameter and length of large radomes,in,60.0,60.0,1,1,MIL-HDBK-470A,520,
distance between engine and firewall,in,75.0,75.0,1,1,MIL-HDBK-470A,606,
distance for external cue visibility,ft,20.0,20.0,1,1,MIL-HDBK-470A,535,
distance from nose/main landing gear,in,18.0,18.0,1,1,MIL-HDBK-470A,479,
fuselage lower shear moldline height,in,38.0,38.0,1,1,MIL-HDBK-470A,354,
maximum distance from access opening,in,18.0,18.0,1,1,MIL-HDBK-470A,357,
safe/arm status discernible distance,ft,20.0,20.0,1,1,MIL-HDBK-470A,535,
fuel wetted area intersection angle,deg,90.0,90.0,1,1,MIL-HDBK-470A,483,
inlet duct edge to cockpit distance,in,60.0,60.0,1,1,MIL-HDBK-470A,380,
ground safety pin exclusion radius,ft,3.0,3.0,1,1,MIL-HDBK-470A,389,
95th percentile maintenance time,h,2.0,2.0,1,1,MIL-HDBK-470A,161,
engine assembly replacement time,min,30.0,30.0,1,1,MIL-HDBK-470A,445,
maximum value of 95th percentile,min,60.0,60.0,1,1,MIL-HDBK-470A,179,
walkway durability for personnel,%,95.0,95.0,1,1,MIL-HDBK-470A,550,
mttr for drive belt replacement,min,30.0,30.0,1,1,MIL-HDBK-470A,426,
mttr for spark plug replacement,min,30.0,30.0,1,1,MIL-HDBK-470A,426,
maintenance man-hours per task,min,0.73,0.73,1,1,MIL-HDBK-470A,240,Total Time 0.73
viewability and accessibility,%,100.0,100.0,1,1,MIL-HDBK-470A,507,
cable viewability percentage,%,100.0,100.0,1,1,MIL-HDBK-470A,711,
engine-to-airframe clearance,in,1.0,1.0,1,1,MIL-HDBK-470A,387,
structural fastener diameter,in,0.25,0.25,1,1,MIL-HDBK-470A,361,
engine-to-firewall distance,in,75.0,75.0,1,1,MIL-HDBK-470A,355,
plugged openings percentage,%,25.0,25.0,1,1,MIL-HDBK-470A,526,
radome diameter plus length,in,60.0,60.0,1,1,MIL-HDBK-470A,390,
spark plug replacement time,min,30.0,30.0,1,1,MIL-HDBK-470A,386,
cosmetic type repairs time,h,1.0,1.0,1,1,MIL-HDBK-470A,526,
demonstration success rate,%,100.0,100.0,1,1,MIL-HDBK-470A,199,
fault isolation resolution,%,100.0,100.0,1,1,MIL-HDBK-470A,229,
critical maintenance time,min,30.0,30.0,1,1,MIL-HDBK-470A,163,
delay downtime per flight,h,1.0,1.0,1,1,MIL-HDBK-470A,172,
demonstration sample size,count,200.0,200.0,1,1,MIL-HDBK-470A,145,"200 sample tasks, or 4 x 50, should be available"
distance from engine face,in,10.0,10.0,1,1,MIL-HDBK-470A,473,
water pressure resistance,psi,120.0,120.0,1,1,MIL-HDBK-470A,437,
identification coverage,deg,360.0,360.0,1,1,MIL-HDBK-470A,429,
percentile gloved hand,%,95.0,95.0,1,1,MIL-HDBK-470A,560,
wheel ground clearance,in,2.0,2.0,1,1,MIL-HDBK-470A,533,
95th percentile value,ratio,3.0,3.0,1,1,MIL-HDBK-470A,177,The ratio of the 95th percentile maximum value to the value of the mean must be less than three
belt replacement time,min,30.0,30.0,1,1,MIL-HDBK-470A,606,
distance from cockpit,in,60.0,60.0,1,1,MIL-HDBK-470A,473,
distance from surface,in,1.0,1.0,1,1,MIL-HDBK-470A,518,
external cue distance,ft,20.0,20.0,1,1,MIL-HDBK-470A,591,
weapon bay door width,in,22.0,22.0,1,1,MIL-HDBK-470A,354,
discernible distance,ft,20.0,20.0,1,1,MIL-HDBK-470A,390,
identification angle,deg,360.0,360.0,1,1,MIL-HDBK-470A,457,
mttr for component d,h,6.0,6.0,1,1,MIL-HDBK-470A,93,
personnel percentile,%,95.0,95.0,1,1,MIL-HDBK-470A,534,
durability distance,in,36.0,36.0,1,1,MIL-HDBK-470A,664,
inlet safety radius,ft,3.0,3.0,1,1,MIL-HDBK-470A,657,
radius aft of inlet,ft,3.0,3.0,1,1,MIL-HDBK-470A,457,
personnel spectrum,%,95.0,95.0,1,1,MIL-HDBK-470A,685,
plumbing clearance,in,1.0,1.0,1,1,MIL-HDBK-470A,498,
access clearance,in,5.0,5.0,1,1,MIL-HDBK-470A,369,
cable visibility,%,100.0,100.0,1,1,MIL-HDBK-470A,554,
confidence level,%,90.0,90.0,1,1,MIL-HDBK-470A,190,The plan holds the confidence level at 75% or 90% as may be desired
door sill height,in,18.0,18.0,1,1,MIL-HDBK-470A,511,
ground clearance,in,2.0,2.0,1,1,MIL-HDBK-470A,517,
maintenance time,min,30.0,30.0,1,1,MIL-HDBK-470A,156,"H0: Mean = µ0 (Equation B-2) H1: Mean = µ1, (µ1> µ0)"
maximum distance,in,18.0,18.0,1,1,MIL-HDBK-470A,364,
maximum downtime,min,100.0,100.0,1,1,MIL-HDBK-470A,138,
opening blockage,%,25.0,25.0,1,1,MIL-HDBK-470A,421,
percentile range,%,95.0,95.0,1,1,MIL-HDBK-470A,359,
percentile value,h,2.0,2.0,1,1,MIL-HDBK-470A,160,H1: 95th percentile = XP = X.05 = T1 = 2 hours
plugged openings,%,25.0,25.0,1,1,MIL-HDBK-470A,508,
viewing distance,ft,20.0,20.0,1,1,MIL-HDBK-470A,686,
water pressure,psi,120.0,120.0,1,1,MIL-HDBK-470A,437,
effectiveness,%,100.0,100.0,1,1,MIL-HDBK-470A,507,
fire duration,min,10.0,10.0,1,1,MIL-HDBK-470A,455,
impact energy,ft-lb,30.0,30.0,1,1,MIL-HDBK-470A,448,
static charge,v,10000.0,10000.0,1,1,MIL-HDBK-470A,522,
chest height,in,42.0,42.0,1,1,MIL-HDBK-470A,511,
mtbf,h,200.0,200.0,1,1,MIL-HDBK-470A,142,50 samples from an item with an MTBF of 200 hours
